Edificio  Nombre                                                                                                   Latitud     Longitud    Campus
4K        Casa del Alumno                                                                                          39.4806933  -0.3417254  Vera
4K        Delegación de Alumnos                                                                                    39.4806933  -0.3417254  Vera
4K        Delegación IAESTE Valencia                                                                               39.4806933  -0.3417254  Vera
4L        Área de Sistemas de la Información y las Comunicaciones                                                  39.4811164  -0.3430372  Vera
4L        Servicio de Biblioteca y Documentación Científica.                                                       39.4811164  -0.3430372  Vera
4M        Banco Santander                                                                                          39.4812540  -0.3435979  Vera
4M        Librería Inter Técnica , S.L.                                                                            39.4812540  -0.3435979  Vera
4N        Instituto Universitario de Ciencia y Tecnología del Hormigón                                             39.4804817  -0.3434287  Vera
4P        ETS de Ingeniería de Telecomunicación                                                                    39.4798893  -0.3434392  Vera
4P        Dpto. de Comunicaciones                                                                                  39.4798893  -0.3434392  Vera
4P        Dpto. de Lingüística Aplicada                                                                            39.4798893  -0.3434392  Vera
4P        Área de Centro de Lenguas                                                                                39.4798893  -0.3434392  Vera
4Q        ETSI de Caminos, Canales y Puertos.                                                                      39.4806086  -0.3428362  Vera
5B        Cafetería Pizzería                                                                                       39.4819733  -0.3431642  Vera
5B        Farmacia Politécnico                                                                                     39.4819733  -0.3431642  Vera
5B        Óptica Politécnica                                                                                       39.4819733  -0.3431642  Vera
5C        Dpto. de Ingeniería de Sistemas y Automática                                                             39.4817406  -0.3427728  Vera
5C        Centro de Medio Ambiente Industrial                                                                      39.4817406  -0.3427728  Vera
5C        FLUING - IMM                                                                                             39.4817406  -0.3427728  Vera
5C        Instituto Tecnológico del Agua                                                                           39.4817406  -0.3427728  Vera
5D        Laboratorio de Acústica Industrial                                                                       39.4815925  -0.3423496  Vera
5E        Dpto. de Ingeniería Eléctrica                                                                            39.4814126  -0.3416091  Vera
5E        Dpto. de Ingeniería Mecánica y de Materiales                                                             39.4814126  -0.3416091  Vera
5E        Centro de Investigación en Ingeniería Mecánica                                                           39.4814126  -0.3416091  Vera
5E        Instituto de Tecnología de Materiales                                                                    39.4814126  -0.3416091  Vera
5E        Laboratorio de Metrología Dimensional                                                                    39.4814126  -0.3416091  Vera
5F        ETS Ingeniería Industrial                                                                                39.4822061  -0.3430796  Vera
5F        Servicio de Promoción y Normalización Lingüística                                                        39.4822061  -0.3430796  Vera
5G        ETS de Ingeniería Industrial                                                                             39.4819416  -0.3421803  Vera
5H        Dpto. de Mecánica de los Medios Continuos y Teoría de Estructuras                                        39.4825446  -0.3429103  Vera
5H        Instituto Universitario de Seguridad Industrial, Radiofísica y Medioambiental                            39.4825446  -0.3429103  Vera
5I        Dpto. de Ingeniería Química y Nuclear                                                                    39.4822801  -0.3420005  Vera
5I        Laboratorio de Radiactividad Ambiental                                                                   39.4822801  -0.3420005  Vera
5I        Servicio de Radiaciones                                                                                  39.4822801  -0.3420005  Vera
5J        Dpto. de Proyectos de Ingeniería                                                                         39.4828725  -0.3427622  Vera
5J        Dpto. de Termodinámica Aplicada                                                                          39.4828725  -0.3427622  Vera
5K        Dpto. de Ingeniería Química y Nuclear                                                                    39.4826081  -0.3418630  Vera
5K        Instituto Universitario de Seguridad Industrial, Radiofísica y Medioambiental                            39.4826081  -0.3418630  Vera
5L        ETS de Ingeniería Industrial                                                                             39.4830418  -0.3421698  Vera
5M        Dpto. de Química                                                                                         39.4829254  -0.3417043  Vera
5M        Instituto Interuniversitario de Investigación de Reconocimiento Molecular y Desarrollo Tecnológico       39.4829254  -0.3417043  Vera
5M        UMI UPV-CIPF en Mecanismos de enfermedades y nanomedicina                                                39.4829254  -0.3417043  Vera
5M        Unidad Mixta en Nanomedicina y Sensores entre la Fundación Hospital La Fe y el Instituto de Reconocimient39.4829254  -0.3417043  Vera
5N        ETS de Ingeniería Industrial                                                                             39.4827350  -0.3411224  Vera
5O        Seguridad                                                                                                39.4838775  -0.3424554  Vera
5O        Servicio de Mantenimiento                                                                                39.4838775  -0.3424554  Vera
5P        Invernaderos                                                                                             39.4835073  -0.3412600  Vera
5Q        ETS de Ingeniería Industrial                                                                             39.4834015  -0.3403502  Vera
5R        Servicio de Deportes                                                                                     39.4816560  -0.3415033  Vera
5S        Autoescuela Jordá                                                                                        39.4819839  -0.3408262  Vera
5S        Bazar de deportes                                                                                        39.4819839  -0.3408262  Vera
5S        Tienda de electrónica e informática                                                                      39.4819839  -0.3408262  Vera
6A        Servicio de Deportes                                                                                     39.4792016  -0.3412071  Vera
6A        Pabellón polideportivo                                                                                   39.4792016  -0.3412071  Vera
6B        Colegio Mayor Galileo Galilei                                                                            39.4791276  -0.3404348  Vera
6C        Instituto Universitario Mixto de Tecnología Química                                                      39.4787890  -0.3395991  Vera
6C        Instituto de Tecnología Eléctrica                                                                        39.4787890  -0.3395991  Vera
6D        Dpto. de Máquinas y Motores Térmicos                                                                     39.4785034  -0.3385094  Vera
6D        Instituto Universitario CMT - Motores Térmicos                                                           39.4785034  -0.3385094  Vera
6D        Centro de Tecnologías Físicas: Acústica, Materiales y Astrofísica                                        39.4785034  -0.3385094  Vera
6D        Centro Tecnológico de Ondas Unidas Asociada CSIC-UPC                                                     39.4785034  -0.3385094  Vera
6D        Instituto de Infraestructura del Transporte y del Material Móvil                                         39.4785034  -0.3385094  Vera
6D        GEM Biosoft, S.L.                                                                                        39.4785034  -0.3385094  Vera
6D        Principiatech Valencia                                                                                   39.4785034  -0.3385094  Vera
6E        Centro de Salud Juana Portaceli                                                                          39.4795190  -0.3408897  Vera
6E        Servicio Integrado de Prevención de Salud Labor                                                          39.4795190  -0.3408897  Vera
6E        Clínica dental UPV                                                                                       39.4795190  -0.3408897  Vera
6E        UPV/FISIO                                                                                                39.4795190  -0.3408897  Vera
6E        Sección Sindical de Comisiones Obreras de la UPV (CCOO)                                                  39.4795190  -0.3408897  Vera
6E        Sindicato de Trabajadores de la Enseñanza del País Valenciano                                            39.4795190  -0.3408897  Vera
6F        Piscina cubierta                                                                                         39.4799845  -0.3411013  Vera
6F        Pista de Tenis                                                                                           39.4799845  -0.3411013  Vera
6G        Vicerrectorado de Empleo y Emprendimiento                                                                39.4790958  -0.3387633  Vera
6G        Área de Acción Internacional                                                                             39.4790958  -0.3387633  Vera
6G        Área de Centro de Formación Permanente                                                                   39.4790958  -0.3387633  Vera
6G        Área de Comunicación                                                                                     39.4790958  -0.3387633  Vera
6G        Área de Instituto de Ciencias de la Educación                                                            39.4790958  -0.3387633  Vera
6G        Área de Programas de Investigación e Innovación                                                          39.4790958  -0.3387633  Vera
6G        Centro de Cooperación al Desarrollo                                                                      39.4790958  -0.3387633  Vera
6G        Oficina de Acción Internacional                                                                          39.4790958  -0.3387633  Vera
6G        Programa de Cátedras de Empresa                                                                          39.4790958  -0.3387633  Vera
6G        Servicio de Gestión de la I+D+i                                                                          39.4790958  -0.3387633  Vera
6G        Servicio Integrado de Empleo                                                                             39.4790958  -0.3387633  Vera
6G        Unidad de Medio Ambiente                                                                                 39.4790958  -0.3387633  Vera
6G        Edificio Nexus (6G). Salón de actos                                                                      39.4790958  -0.3387633  Vera
6G        Edificio Nexus (6G). Conserjería                                                                         39.4790958  -0.3387633  Vera
7A        Dpto. de Estadística e Investigación Operativa Aplicadas y Calidad                                       39.4805981  -0.3388374  Vera
7A        Dpto. de Matemática Aplicada                                                                             39.4805981  -0.3388374  Vera
7A        Área de Sistemas de la Información y las Comunicaciones                                                  39.4805981  -0.3388374  Vera
7A        Universidad Sénior                                                                                       39.4805981  -0.3388374  Vera
7B        ETS de Ingeniería del Diseño                                                                             39.4803230  -0.3379170  Vera
7B        Museo del Juguete                                                                                        39.4803230  -0.3379170  Vera
7D        Dpto. De Organización de Empresas                                                                        39.4810318  -0.3386364  Vera
7E        ETS de Ingeniería del Diseño                                                                             39.4808096  -0.3377054  Vera
7F        Dpto. de Ingeniería Electrónica                                                                          39.4814761  -0.3384459  Vera
7F        Radio Club                                                                                               39.4814761  -0.3384459  Vera
7G        Dpto. de Ciencia Animal                                                                                  39.4819310  -0.3382344  Vera
7G        Instituto Universitario de Ciencia y Tecnología Animal                                                   39.4819310  -0.3382344  Vera
7G        UA del Inst. Ciencia y Tec. Animal UPV                                                                   39.4819310  -0.3382344  Vera
7H        Granjas                                                                                                  39,4827068  -0,3391134  Vera
